Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-10-09 09:28:47,false,"New York Running","2.67","280","00:25:02","162","177","3.3","171","187","9:22","7:45","28","33","1.00","0.0","0.0","0.0","0.0","0.0","25:02","0:00","0.0","0:00","No","06:26.79","3","0.0"
Running,2020-10-07 09:35:52,false,"New York Running","2.72","269","00:25:02","157","167","3.1","172","180","9:13","8:29","23","38","1.02","0.0","0.0","0.0","0.0","0.0","25:02","0:00","0.0","0:00","No","06:50.29","3","0.0"
Running,2020-10-05 09:31:01,false,"New York Running","2.74","283","00:25:02","164","180","3.3","173","180","9:08","8:13","10","39","1.02","0.0","0.0","0.0","0.0","0.0","25:02","0:00","0.0","0:00","No","06:50.94","3","0.0"
Running,2020-10-03 09:19:50,false,"New York Running","2.73","274","00:25:02","159","182","3.3","173","178","9:09","8:14","22","34","1.02","0.0","0.0","0.0","0.0","0.0","25:02","0:00","0.0","0:00","No","06:42.15","3","0.0"
Running,2020-10-01 09:35:25,false,"New York Running","2.23","224","00:20:03","163","194","3.2","172","180","9:00","8:23","10","36","1.04","0.0","0.0","0.0","0.0","0.0","20:03","0:00","0.0","0:00","No","02:00.17","3","0.0"
Running,2020-09-29 10:27:33,false,"New York Running","2.69","279","00:25:01","162","176","3.4","170","178","9:18","8:20","6","36","1.02","0.0","0.0","0.0","0.0","0.0","25:01","0:00","0.0","0:00","No","06:19.78","3","0.0"
Running,2020-09-27 08:17:49,false,"New York Running","2.51","253","00:22:39","162","186","3.3","173","179","9:02","8:27","30","36","1.03","0.0","0.0","0.0","0.0","0.0","22:39","0:00","0.0","0:00","No","04:33.51","3","0.0"
Running,2020-09-24 09:42:04,false,"New York Running","2.00","194","00:18:01","157","178","3.0","173","180","8:59","8:26","22","33","1.04","0.0","0.0","0.0","0.0","0.0","18:01","0:00","0.0","0:00","No","00:02.30","3","0.0"
Running,2020-09-22 09:33:59,false,"New York Running","2.51","251","00:22:25","164","177","3.3","174","180","8:56","8:00","15","38","1.03","0.0","0.0","0.0","0.0","0.0","22:25","0:00","0.0","0:00","No","04:26.95","3","0.0"
Running,2020-09-20 08:50:39,false,"New York Running","1.80","175","00:15:56","161","177","3.0","174","184","8:51","8:19","33","39","1.05","0.0","0.0","0.0","0.0","0.0","15:56","0:00","0.0","0:00","No","07:11.59","2","0.0"
